shadow_decision_id,setup_id,symbol,market_group,timeframe,setup_type,strategy,direction,setup_status,timing_state,setup_quality_score,automation_scope,min_auto_quality,shadow_state,shadow_reason,hypothetical_entry_time,hypothetical_entry_price,hypothetical_sl,hypothetical_tp1,hypothetical_tp2,would_open_position,would_modify_position,order_sent,can_send_order,source_artifacts,is_shadow_only,is_signal,can_execute_order
5bb1c92e99d96f2d,trading_center_screener_unified_v1|USDSEK.r|M15|rsi_trend_reversal|M15,USDSEK.r,Forex Exotic,M15,rsi_trend_reversal,rsi_trend_reversal,long,ready_for_chart_review,entry_review,4,context_only,4,would_skip_context_only,setup_type_not_in_automatic_bot_scope,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv,True,False,False
92aec6f054660918,trading_center_screener_unified_v1|EURO50|H1|fib_limit_live_candidate|H1,EURO50,Index,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
f1bfff623923a390,trading_center_screener_unified_v1|FRA40|H1|fib_limit_live_candidate|H1,FRA40,Index,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
b9d306c599e63d32,trading_center_screener_unified_v1|US30|H1|fib_limit_live_candidate|H1,US30,Index,H1,fib_limit_live_candidate,fib_limit,long,ready_for_chart_review,entry_review,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
aee4365e95d9717d,trading_center_screener_unified_v1|NZDCAD.r|H1|fib_limit_live_candidate|H1,NZDCAD.r,Forex Majors,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
258fcbd4ad33f6b7,trading_center_screener_unified_v1|GBPCAD.r|H4|macd_breakout|142,GBPCAD.r,Forex Majors,H4,macd_breakout,macd_breakout,long,context_monitor,watching,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.85145,1.8818200000000005,1.9022016400000004,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
e5cc525fea25fb31,trading_center_screener_unified_v1|USDCHF.r|H1|macd_breakout|607,USDCHF.r,Forex Majors,H1,macd_breakout,macd_breakout,long,context_monitor,watching,3,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,0.7931,0.80183,0.8075835800000001,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
576e9db6d33097ba,trading_center_screener_unified_v1|HK50|H1|macd_breakout|675,HK50,Index,H1,macd_breakout,macd_breakout,long,context_monitor,watching,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,24464.75,24804.5,25023.7355,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
18b71e08a155fdee,trading_center_screener_unified_v1|XPDUSD|H1|macd_breakout|1736,XPDUSD,Metals,H1,macd_breakout,macd_breakout,short,context_monitor,watching,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1237.0,1135.07,1068.04172,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
799908a36514ed9d,trading_center_screener_unified_v1|XPDUSD|H4|macd_breakout|1078,XPDUSD,Metals,H4,macd_breakout,macd_breakout,short,context_monitor,watching,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1237.0,1138.52,1073.62382,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
890584036f54b638,trading_center_screener_unified_v1|NZDUSD.r|M15|rsi_trend_reversal|M15,NZDUSD.r,Forex Majors,M15,rsi_trend_reversal,rsi_trend_reversal,short,context_monitor,watching,3,context_only,4,would_skip_context_only,setup_type_not_in_automatic_bot_scope,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
d7140e63c0a708c8,trading_center_screener_unified_v1|USDSGD.r|M15|rsi_trend_reversal|M15,USDSGD.r,Forex Exotic,M15,rsi_trend_reversal,rsi_trend_reversal,long,context_monitor,watching,3,context_only,4,would_skip_context_only,setup_type_not_in_automatic_bot_scope,,,,,,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv,True,False,False
4f67c31a9ac978f5,trading_center_screener_unified_v1|CADJPY.r|H1|macd_breakout|595,CADJPY.r,Forex Majors,H1,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,115.657,114.882,114.394398,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
a19cbf97dbf3e2b2,trading_center_screener_unified_v1|CADJPY.r|H4|macd_breakout|172,CADJPY.r,Forex Majors,H4,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,115.725,114.266,113.334674,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
f6d7002139f27a5a,trading_center_screener_unified_v1|EURGBP.r|H1|macd_breakout|349,EURGBP.r,Forex Majors,H1,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,0.86773,0.85705,0.8501902,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
9e40d40fc2086176,trading_center_screener_unified_v1|EURGBP.r|H4|macd_breakout|133,EURGBP.r,Forex Majors,H4,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,0.86709,0.85733,0.85064324,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
dfbbd39a22863338,trading_center_screener_unified_v1|EURUSD.r|H1|macd_breakout|1690,EURUSD.r,Forex Majors,H1,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.16418,1.1563800000000002,1.1513618400000003,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
8f7db6a1e33ecf72,trading_center_screener_unified_v1|GBPCAD.r|H1|macd_breakout|465,GBPCAD.r,Forex Majors,H1,macd_breakout,macd_breakout,long,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.85531,1.8720600000000005,1.8832643400000004,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
194117a672646a17,trading_center_screener_unified_v1|GBPUSD.r|H4|macd_breakout|168,GBPUSD.r,Forex Majors,H4,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.34717,1.33585,1.3280323,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
d980d62fa2527791,trading_center_screener_unified_v1|USDCAD.r|H1|macd_breakout|423,USDCAD.r,Forex Majors,H1,macd_breakout,macd_breakout,long,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.37761,1.40551,1.42440226,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
34615b241bc65d01,trading_center_screener_unified_v1|USDCAD.r|H4|macd_breakout|141,USDCAD.r,Forex Majors,H4,macd_breakout,macd_breakout,long,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.37795,1.40471,1.4231078600000002,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
81ebb3205ce90e3c,trading_center_screener_unified_v1|XAUEUR.r|H4|macd_breakout|199,XAUEUR.r,Metals,H4,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,3870.42,3790.12,3735.012940000001,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
b28e7e9175d5301d,trading_center_screener_unified_v1|CHFJPY.r|H1|macd_breakout|572,CHFJPY.r,Forex Majors,H1,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,203.034,201.431,200.381636,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
2a26e8ec1bd38efc,trading_center_screener_unified_v1|EURAUD.r|H4|macd_breakout|668,EURAUD.r,Forex Majors,H4,macd_breakout,macd_breakout,long,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.6193499999999998,1.6408199999999995,1.6550525399999996,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
51992f04ab7900ba,trading_center_screener_unified_v1|GBPAUD.r|H1|macd_breakout|547,GBPAUD.r,Forex Majors,H1,macd_breakout,macd_breakout,long,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.87354,1.8854,1.8930323,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
b0ac44290e46ddd3,trading_center_screener_unified_v1|GBPAUD.r|H4|macd_breakout|140,GBPAUD.r,Forex Majors,H4,macd_breakout,macd_breakout,long,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.86915,1.9012,1.9210069,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
534a5edfd0d21032,trading_center_screener_unified_v1|XAGEUR.r|H4|macd_breakout|371,XAGEUR.r,Metals,H4,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,64.042,61.54800000000001,59.73046200000001,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
fd34800ce6b1d5f5,trading_center_screener_unified_v1|XAGUSD.r|H4|macd_breakout|537,XAGUSD.r,Metals,H4,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,74.525,71.33500000000001,69.04160200000001,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
4c7138d28aeb4bf7,trading_center_screener_unified_v1|XAUUSD.r|H4|macd_breakout|242,XAUUSD.r,Metals,H4,macd_breakout,macd_breakout,short,late_context,late,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,4504.15,4383.17,4301.4704,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
b9de406af45bea85,trading_center_screener_unified_v1|AUDNZD.r|H1|macd_breakout|299,AUDNZD.r,Forex Majors,H1,macd_breakout,macd_breakout,short,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.22817,1.18722,1.16903844,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
