setup_id,symbol,timeframe,setup_type,rule_applied,setup_quality_score,automation_scope,min_auto_quality,ohlc_rows_available,chart_layers_available,shadow_state,shadow_reason,order_sent
trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,macd_breakout,macd_breakout,5,auto_candidate,4,2000,27,would_trigger,closed_close_confirms_macd_breakout_hypothetically,False
trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,macd_breakout,macd_breakout,5,auto_candidate,4,2000,27,would_trigger,closed_close_confirms_macd_breakout_hypothetically,False
trading_center_screener_unified_v1|USDSEK.r|M15|rsi_trend_reversal|M15,USDSEK.r,M15,rsi_trend_reversal,rsi_trend_reversal,4,context_only,4,2000,9,would_skip_context_only,setup_type_not_in_automatic_bot_scope,False
trading_center_screener_unified_v1|EURO50|H1|fib_limit_live_candidate|H1,EURO50,H1,fib_limit_live_candidate,fib_limit_live_candidate,3,below_min_quality,4,2000,13,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|FRA40|H1|fib_limit_live_candidate|H1,FRA40,H1,fib_limit_live_candidate,fib_limit_live_candidate,3,below_min_quality,4,2000,13,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|US30|H1|fib_limit_live_candidate|H1,US30,H1,fib_limit_live_candidate,fib_limit_live_candidate,3,below_min_quality,4,2000,13,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDCAD.r|H1|fib_limit_live_candidate|H1,NZDCAD.r,H1,fib_limit_live_candidate,fib_limit_live_candidate,2,below_min_quality,4,2000,13,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|670,EURUSD.r,H4,macd_breakout,macd_breakout,5,auto_candidate,4,2000,24,would_wait,macd_recent_but_missing_breakout_level,False
trading_center_screener_unified_v1|GBPCHF.r|H4|macd_breakout|150,GBPCHF.r,H4,macd_breakout,macd_breakout,5,auto_candidate,4,2000,24,would_wait,macd_recent_but_missing_breakout_level,False
trading_center_screener_unified_v1|XPTUSD|H4|macd_breakout|792,XPTUSD,H4,macd_breakout,macd_breakout,4,auto_candidate,4,2000,26,would_trigger,closed_close_confirms_macd_breakout_hypothetically,False
trading_center_screener_unified_v1|GBPCAD.r|H4|macd_breakout|142,GBPCAD.r,H4,macd_breakout,macd_breakout,3,below_min_quality,4,2000,23,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|USDCHF.r|H1|macd_breakout|607,USDCHF.r,H1,macd_breakout,macd_breakout,3,below_min_quality,4,2000,23,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|HK50|H1|macd_breakout|675,HK50,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,23,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XPDUSD|H1|macd_breakout|1736,XPDUSD,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,23,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XPDUSD|H4|macd_breakout|1078,XPDUSD,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,23,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDUSD.r|M15|rsi_trend_reversal|M15,NZDUSD.r,M15,rsi_trend_reversal,rsi_trend_reversal,3,context_only,4,2000,17,would_skip_context_only,setup_type_not_in_automatic_bot_scope,False
trading_center_screener_unified_v1|USDSGD.r|M15|rsi_trend_reversal|M15,USDSGD.r,M15,rsi_trend_reversal,rsi_trend_reversal,3,context_only,4,2000,8,would_skip_context_only,setup_type_not_in_automatic_bot_scope,False
trading_center_screener_unified_v1|CADJPY.r|H1|macd_breakout|595,CADJPY.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,24,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|CADJPY.r|H4|macd_breakout|172,CADJPY.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURGBP.r|H1|macd_breakout|349,EURGBP.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURGBP.r|H4|macd_breakout|133,EURGBP.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURUSD.r|H1|macd_breakout|1690,EURUSD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPCAD.r|H1|macd_breakout|465,GBPCAD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPUSD.r|H4|macd_breakout|168,GBPUSD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|USDCAD.r|H1|macd_breakout|423,USDCAD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|USDCAD.r|H4|macd_breakout|141,USDCAD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XAUEUR.r|H4|macd_breakout|199,XAUEUR.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|CHFJPY.r|H1|macd_breakout|572,CHFJPY.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURAUD.r|H4|macd_breakout|668,EURAUD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPAUD.r|H1|macd_breakout|547,GBPAUD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPAUD.r|H4|macd_breakout|140,GBPAUD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XAGEUR.r|H4|macd_breakout|371,XAGEUR.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,26,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XAGUSD.r|H4|macd_breakout|537,XAGUSD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,26,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XAUUSD.r|H4|macd_breakout|242,XAUUSD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUDNZD.r|H1|macd_breakout|299,AUDNZD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,26,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUDNZD.r|H4|macd_breakout|118,AUDNZD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,26,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|UK100|H4|macd_breakout|177,UK100,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,23,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|160,AUDCAD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|FRA40|H1|macd_breakout|602,FRA40,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GER40|H4|macd_breakout|159,GER40,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,26,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|US100|H1|macd_breakout|720,US100,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|US500|H1|macd_breakout|716,US500,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XAUEUR.r|H1|macd_breakout|625,XAUEUR.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUDUSD.r|H1|macd_breakout|640,AUDUSD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|CHFJPY.r|H4|macd_breakout|160,CHFJPY.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,26,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURNZD.r|H4|macd_breakout|142,EURNZD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPNZD.r|H4|macd_breakout|140,GBPNZD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|557,NZDCAD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|137,NZDCAD.r,H4,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|559,NZDCHF.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDJPY.r|H1|macd_breakout|587,NZDJPY.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDUSD.r|H1|macd_breakout|602,NZDUSD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,25,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XAUUSD.r|H1|macd_breakout|758,XAUUSD.r,H1,macd_breakout,macd_breakout,2,below_min_quality,4,2000,24,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|UK100|H1|macd_breakout|581,UK100,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|CHINA50|H1|macd_breakout|646,CHINA50,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|CHINA50|H4|macd_breakout|198,CHINA50,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURCHF.r|H1|macd_breakout|359,EURCHF.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURCHF.r|H4|macd_breakout|151,EURCHF.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURJPY.r|H1|macd_breakout|1664,EURJPY.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURJPY.r|H4|macd_breakout|742,EURJPY.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURO50|H1|macd_breakout|657,EURO50,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|FRA40|H4|macd_breakout|200,FRA40,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPCHF.r|H1|macd_breakout|512,GBPCHF.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,24,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPUSD.r|H1|macd_breakout|613,GBPUSD.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GER40|H1|macd_breakout|528,GER40,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|HK50|H4|macd_breakout|225,HK50,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|JP225|H1|macd_breakout|842,JP225,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|262,JP225,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|SPA35|H1|macd_breakout|357,SPA35,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,26,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|US100|H4|macd_breakout|225,US100,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|US30|H1|macd_breakout|687,US30,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|US30|H4|macd_breakout|212,US30,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|US500|H4|macd_breakout|220,US500,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUDUSD.r|H4|macd_breakout|164,AUDUSD.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUS200|H1|macd_breakout|1422,AUS200,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|AUS200|H4|macd_breakout|408,AUS200,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|CADCHF.r|H1|macd_breakout|563,CADCHF.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|CADCHF.r|H4|macd_breakout|133,CADCHF.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURAUD.r|H1|macd_breakout|1814,EURAUD.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURNZD.r|H1|macd_breakout|534,EURNZD.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPJPY.r|H1|macd_breakout|633,GBPJPY.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPJPY.r|H4|macd_breakout|166,GBPJPY.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|GBPNZD.r|H1|macd_breakout|530,GBPNZD.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDCHF.r|H4|macd_breakout|139,NZDCHF.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDJPY.r|H4|macd_breakout|164,NZDJPY.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|NZDUSD.r|H4|macd_breakout|168,NZDUSD.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|USDCHF.r|H4|macd_breakout|176,USDCHF.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XAGEUR.r|H1|macd_breakout|649,XAGEUR.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XAGUSD.r|H1|macd_breakout|926,XAGUSD.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XCUUSD.r|H1|macd_breakout|305,XCUUSD.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XCUUSD.r|H4|macd_breakout|139,XCUUSD.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURCAD.r|H1|macd_breakout|461,EURCAD.r,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|EURCAD.r|H4|macd_breakout|148,EURCAD.r,H4,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
trading_center_screener_unified_v1|XPTUSD|H1|macd_breakout|1199,XPTUSD,H1,macd_breakout,macd_breakout,1,below_min_quality,4,2000,27,would_skip_context_only,setup_quality_below_min_auto_quality_4,False
