symbol,market_group,trend_chip,rsi_chip,pivot_chip,previous_day_level_chip,round_level_chip,fibonacci_chip,volatility_chip,macd_breakout_chip,fib_limit_chip,wavecount_chip,codex_review_status,setups_count,max_quality_score,is_signal,is_study_only,can_execute_order,would_send_to_mt5,would_send_telegram_order,wavecount_used_as_filter
EURO50,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.19%,cerca Fib 61.8 (0.04%),adecuada 1.48x,entry_review x1|invalidated x2,live Fib 61.8 H1,W4? H4 fuerte,revision codex pendiente,3,5,False,True,False,False,False,False
EURUSD.r,Forex Majors,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo superior 0.12%,cerca Fib 23.6 (0.01%),adecuada 1.14x,macd_recent x1|late x1|invalidated x2,historico auditado 5/5,W3? H4 fuerte,revision codex pendiente,2,5,False,True,False,False,False,False
GBPCHF.r,Forex Majors,M15/H1/H4 bullish,neutral,no_context,Maximo dia previo 0.03%,Nivel redondo superior 0.08%,contexto Fib 23.6 (0.71%),adecuada 0.95x,macd_recent x1|invalidated x2,historico auditado 5/5,W2? H4 media,revision codex pendiente,2,5,False,True,False,False,False,False
SPA35,Index,H1/H4/D1 bullish,neutral,no_context,no_context,Nivel redondo inferior 0.37%; Nivel redondo superior 0.18%,cerca Fib 38.2 (0.04%),adecuada 1.26x,entry_review x1|invalidated x2,pendiente detector live,W2? H1 media,revision codex pendiente,2,5,False,True,False,False,False,False
USDSEK.r,Forex Exotic,M15/H1/H4 bullish,neutral,no_context,no_context,Nivel redondo inferior 0.02%; Nivel redondo superior 0.03%,pending_source,adecuada 1.24x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,1,4,False,True,False,False,False,False
XPTUSD,Metals,M15/H1/H4 bearish,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.36%),adecuada 0.90x,breakout_recent x1|invalidated x1,historico auditado 5/5,W3? H4 fuerte,revision codex pendiente,2,4,False,True,False,False,False,False
FRA40,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.04%,cerca Fib 61.8 (0.02%),adecuada 1.40x,missing_context x1|invalidated x3,live Fib 61.8 H1,W2? H4 media,revision codex pendiente,3,3,False,True,False,False,False,False
GBPCAD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.11%,cerca Fib 50 (0.01%),adecuada 0.98x,watching x1|late x1|invalidated x1,historico auditado 5/5,W4? H4 fuerte,revision codex pendiente,2,3,False,True,False,False,False,False
NZDUSD.r,Forex Majors,M15/H1/H4 bearish,M15 bearish_overbought,no_context,no_context,no_context,cerca Fib 50 (0.05%),adecuada 1.15x,missing_context x1|invalidated x3,pendiente detector live,W3? H4 fuerte,revision codex pendiente,3,3,False,True,False,False,False,False
US30,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.14%; Nivel redondo superior 0.06%,cerca Fib 61.8 (0.09%),adecuada 1.18x,invalidated x3,live Fib 61.8 H1,W4? H4 fuerte,revision codex pendiente,3,3,False,True,False,False,False,False
USDCHF.r,Forex Majors,M15/H1/H4 bullish,neutral,no_context,Maximo dia previo 0.03%,no_context,contexto Fib 23.6 (0.25%),adecuada 1.01x,watching x1|invalidated x3,historico auditado 4/5,W5? H1 fuerte,revision codex pendiente,2,3,False,True,False,False,False,False
USDSGD.r,Forex Exotic,M15/H1/H4 bullish,M15 bullish_oversold,no_context,no_context,no_context,pending_source,adecuada 1.05x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,1,3,False,True,False,False,False,False
AUDCAD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.03%,cerca Fib 78.6 (0.01%),adecuada 1.21x,missing_context x2|invalidated x2,pendiente detector live,W4? H1 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
AUDJPY.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,cerca Fib 38.2 (0.07%),adecuada 1.36x,missing_context x1|invalidated x2,historico auditado 4/5 cautela,W3? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
AUDNZD.r,Forex Majors,sin alineacion limpia,neutral,S2 previo 0.10%,Minimo dia previo 0.01%,no_context,cerca Fib 23.6 (0.04%),comprimida 0.84x,missing_context x2|invalidated x2,historico auditado 4/5,W3? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
AUDUSD.r,Forex Majors,M15/H1/H4 bearish,neutral,no_context,no_context,no_context,cerca Fib 50 (0.07%),adecuada 1.20x,missing_context x1|invalidated x3,pendiente detector live,W3? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
CADJPY.r,Forex Majors,M15/H1/H4 bearish,neutral,no_context,Minimo dia previo 0.11%,no_context,cerca Fib 78.6 (0.02%),comprimida 0.84x,late x2|missing_context x1|invalidated x1,historico auditado 5/5,W2? H1 debil,revision codex pendiente,2,2,False,True,False,False,False,False
CHFJPY.r,Forex Majors,sin alineacion limpia,neutral,no_context,Minimo dia previo 0.00%,no_context,contexto Fib 23.6 (0.27%),adecuada 1.21x,late x1|missing_context x1|invalidated x2,pendiente detector live,W5 H1 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
EURAUD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.11%,contexto Fib 23.6 (0.12%),adecuada 1.00x,late x1|invalidated x3,historico auditado 5/5,W4? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
EURGBP.r,Forex Majors,M15/H1/H4 bearish,neutral,no_context,Minimo dia previo 0.08%,no_context,cerca Fib 38.2 (0.01%),comprimida 0.69x,late x2|missing_context x2,pendiente detector live,W3? H4 media,revision codex pendiente,2,2,False,True,False,False,False,False
EURNZD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo superior 0.01%,contexto Fib 78.6 (0.51%),adecuada 0.96x,missing_context x1|invalidated x2,historico auditado 4/5,W2? H4 media,revision codex pendiente,2,2,False,True,False,False,False,False
GBPAUD.r,Forex Majors,M15/H1/H4 bullish,neutral,no_context,no_context,Nivel redondo superior 0.02%,contexto Fib 23.6 (0.35%),adecuada 0.89x,late x2|invalidated x1,historico auditado 5/5,W5 H1 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
GBPNZD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.12%; Nivel redondo superior 0.10%,contexto Fib 78.6 (0.85%),adecuada 0.85x,missing_context x1|invalidated x2,historico auditado 4/5 cautela,W5 H1 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
GBPUSD.r,Forex Majors,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.07%,cerca Fib 23.6 (0.08%),adecuada 1.12x,late x1|invalidated x2,historico auditado 4/5,W3? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
GER40,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.28%; Nivel redondo superior 0.12%,cerca Fib 50 (0.11%),adecuada 1.52x,missing_context x1|invalidated x2,pendiente detector live,W3? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
HK50,Index,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.08%; Nivel redondo superior 0.32%,cerca Fib 50 (0.06%),adecuada 1.46x,watching x1|invalidated x2,pendiente detector live,W4? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
NZDCAD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,cerca Fib 61.8 (0.06%),adecuada 1.18x,missing_context x2|invalidated x2,live Fib 61.8 H1,W3? H4 fuerte,revision codex pendiente,3,2,False,True,False,False,False,False
NZDCHF.r,Forex Majors,sin alineacion limpia,neutral,no_context,Maximo dia previo 0.08%,no_context,contexto Fib 23.6 (0.25%),adecuada 1.01x,missing_context x1|invalidated x3,historico auditado 5/5,W2? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
NZDJPY.r,Forex Majors,sin alineacion limpia,H4 bullish_oversold,no_context,no_context,no_context,cerca Fib 50 (0.08%),adecuada 1.36x,missing_context x1|invalidated x3,pendiente detector live,W3? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
UK100,Index,sin alineacion limpia,neutral,no_context,Maximo dia previo 0.35%,Nivel redondo superior 0.09%,cerca Fib 78.6 (0.01%),adecuada 1.44x,missing_context x1|invalidated x2,pendiente detector live,W2? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
US100,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.26%; Nivel redondo superior 0.08%,cerca Fib 38.2 (0.13%),adecuada 1.55x,missing_context x1|invalidated x2,historico auditado 5/5,W4? H1 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
US500,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo superior 0.02%,cerca Fib 38.2 (0.09%),adecuada 1.33x,missing_context x1|invalidated x2,pendiente detector live,W4? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
USDCAD.r,Forex Majors,M15/H1/H4 bullish,neutral,no_context,Maximo dia previo 0.09%,Nivel redondo superior 0.08%,contexto Fib 23.6 (0.41%),comprimida 0.84x,late x2|invalidated x2,historico auditado 3/5 cautela,W4? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
XAGEUR.r,Metals,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo superior 0.32%,contexto Fib 38.2 (0.45%),adecuada 1.13x,late x1|invalidated x1,historico auditado 4/5,W4? H1 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
XAGUSD.r,Metals,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo superior 0.11%,contexto Fib 38.2 (0.76%),adecuada 1.14x,late x1|invalidated x1,historico auditado 4/5 cautela,W4? H1 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
XAUEUR.r,Metals,M15/H1/H4 bearish,neutral,no_context,Minimo dia previo 0.33%,Nivel redondo inferior 0.11%,contexto Fib 78.6 (0.96%),adecuada 1.25x,late x1|missing_context x1|invalidated x1,pendiente detector live,W3? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
XAUUSD.r,Metals,M15/H1/H4 bearish,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.32%),adecuada 1.26x,late x1|missing_context x1|invalidated x1,pendiente detector live,W4? H1 media,revision codex pendiente,2,2,False,True,False,False,False,False
XPDUSD,Metals,M15/H1/H4 bearish,neutral,no_context,no_context,no_context,contexto Fib 23.6 (7.47%),comprimida 0.80x,watching x2|invalidated x1,pendiente detector live,W5? H4 fuerte,revision codex pendiente,2,2,False,True,False,False,False,False
AUS200,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.14%; Nivel redondo superior 0.45%,contexto Fib 23.6 (0.51%),adecuada 1.44x,invalidated x3,historico auditado 5/5,W4? H4 fuerte,revision codex pendiente,2,1,False,True,False,False,False,False
CADCHF.r,Forex Majors,sin alineacion limpia,neutral,no_context,Maximo dia previo 0.02%,no_context,contexto Fib 23.6 (0.20%),adecuada 0.91x,invalidated x4,historico auditado 5/5,W3? H4 fuerte,revision codex pendiente,2,1,False,True,False,False,False,False
CHINA50,Index,sin alineacion limpia,H4 bullish_oversold,no_context,Minimo dia previo 0.36%,Nivel redondo inferior 0.40%; Nivel redondo superior 0.25%,contexto Fib 23.6 (1.22%),excesiva 2.07x,invalidated x4,pendiente detector live,W5? H1 fuerte,revision codex pendiente,2,1,False,True,False,False,False,False
EURCAD.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,contexto Fib 78.6 (0.24%),adecuada 1.01x,invalidated x3,pendiente detector live,W5 H4 fuerte,revision codex pendiente,2,1,False,True,False,False,False,False
EURCHF.r,Forex Majors,M15/H1/H4 bullish,neutral,no_context,Maximo dia previo 0.02%,Nivel redondo superior 0.12%,contexto Fib 23.6 (0.12%),adecuada 0.93x,invalidated x4,pendiente detector live,W2? H1 media,revision codex pendiente,2,1,False,True,False,False,False,False
EURJPY.r,Forex Majors,sin alineacion limpia,H4 bullish_oversold,no_context,Minimo dia previo 0.03%,no_context,cerca Fib 23.6 (0.01%),adecuada 1.40x,invalidated x3,pendiente detector live,W4? H4 fuerte,revision codex pendiente,2,1,False,True,False,False,False,False
GBPJPY.r,Forex Majors,sin alineacion limpia,neutral,no_context,no_context,no_context,cerca Fib 23.6 (0.03%),adecuada 1.35x,invalidated x3,historico auditado 5/5,W4? H4 fuerte,revision codex pendiente,2,1,False,True,False,False,False,False
JP225,Index,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.07%; Nivel redondo superior 0.08%,cerca Fib 38.2 (0.09%),adecuada 1.85x,invalidated x4,pendiente detector live,W4? H4 fuerte,revision codex pendiente,2,1,False,True,False,False,False,False
XCUUSD.r,Metals,sin alineacion limpia,neutral,no_context,no_context,no_context,cerca Fib 78.6 (0.09%),comprimida 0.82x,invalidated x2,pendiente detector live,W4? H1 media,revision codex pendiente,2,1,False,True,False,False,False,False
BRENT,Commodities,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.05%,pending_source,adecuada 1.31x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
BTCUSD,Crypto,H1/H4/D1 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.04%; Nivel redondo superior 0.12%,pending_source,adecuada 1.43x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
COFFEE,Commodities,M15/H1/H4 bearish,neutral,no_context,no_context,no_context,pending_source,adecuada 0.85x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
ETHUSD,Crypto,H1/H4/D1 bearish,neutral,no_context,no_context,no_context,pending_source,adecuada 1.51x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
ITA40,Index,sin alineacion limpia,neutral,R2 previo 0.19%; R3 previo 0.18%,no_context,Nivel redondo inferior 0.06%; Nivel redondo superior 0.15%,contexto Fib 23.6 (6.48%),adecuada 1.04x,watching_setup,pendiente detector live,W2? H1 media,revision codex pendiente,0,0,False,True,False,False,False,False
LTCUSD,Crypto,M15/H1/H4 bearish,neutral,no_context,no_context,Nivel redondo inferior 0.19%,pending_source,adecuada 1.78x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
RPLUSD,Crypto,H1/H4/D1 bearish,neutral,no_context,no_context,no_context,pending_source,adecuada 1.53x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
USDHKD.r,Forex Exotic,sin alineacion limpia,neutral,R2 previo 0.02%; R3 previo 0.06%,Maximo dia previo 0.01%; Minimo dia previo 0.11%,Nivel redondo inferior 0.01%; Nivel redondo superior 0.05%,pending_source,comprimida 0.83x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
USDJPY,Forex Majors,M15/H1/H4 bullish,neutral,no_context,no_context,no_context,contexto Fib 23.6 (0.51%),adecuada 0.88x,watching_setup,historico auditado 5/5,W3? H4 debil,revision codex pendiente,0,0,False,True,False,False,False,False
USDMXN.r,Forex Exotic,M15/H1/H4 bullish,neutral,no_context,no_context,no_context,pending_source,adecuada 1.19x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
USDNOK.r,Forex Exotic,M15/H1/H4 bullish,neutral,no_context,Maximo dia previo 0.06%,Nivel redondo inferior 0.03%; Nivel redondo superior 0.03%,pending_source,adecuada 1.29x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
USDZAR.r,Forex Exotic,sin alineacion limpia,neutral,no_context,no_context,no_context,pending_source,adecuada 1.27x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
WTI,Commodities,sin alineacion limpia,neutral,no_context,no_context,Nivel redondo inferior 0.24%,pending_source,adecuada 1.28x,sin enrichment,pendiente detector live,no_context,revision codex pendiente,0,0,False,True,False,False,False,False
