resolved_market_group,source_scope,timeframe,swing_degree,candidate_count,metrics_available_count,low_prominence_count,too_small_for_timeframe_count,prominence_vs_window_count,prominence_vs_window_median,prominence_vs_window_p10,prominence_vs_window_p25,prominence_vs_window_p75,prominence_vs_window_p90,prominence_vs_window_min,prominence_vs_window_max,visual_window_prominence_count,visual_window_prominence_median,visual_window_prominence_p10,visual_window_prominence_p25,visual_window_prominence_p75,visual_window_prominence_p90,visual_window_prominence_min,visual_window_prominence_max,robust_window_prominence_p05_p95_count,robust_window_prominence_p05_p95_median,robust_window_prominence_p05_p95_p10,robust_window_prominence_p05_p95_p25,robust_window_prominence_p05_p95_p75,robust_window_prominence_p05_p95_p90,robust_window_prominence_p05_p95_min,robust_window_prominence_p05_p95_max,robust_window_prominence_p10_p90_count,robust_window_prominence_p10_p90_median,robust_window_prominence_p10_p90_p10,robust_window_prominence_p10_p90_p25,robust_window_prominence_p10_p90_p75,robust_window_prominence_p10_p90_p90,robust_window_prominence_p10_p90_min,robust_window_prominence_p10_p90_max,last_n_bars_prominence_primary_count,last_n_bars_prominence_primary_median,last_n_bars_prominence_primary_p10,last_n_bars_prominence_primary_p25,last_n_bars_prominence_primary_p75,last_n_bars_prominence_primary_p90,last_n_bars_prominence_primary_min,last_n_bars_prominence_primary_max,atr_normalized_count_size_count,atr_normalized_count_size_median,atr_normalized_count_size_p10,atr_normalized_count_size_p25,atr_normalized_count_size_p75,atr_normalized_count_size_p90,atr_normalized_count_size_min,atr_normalized_count_size_max,comparison_interpretation,atr_median_available,robust_median_available
Forex Majors,h1_h4,H1,intermediate,8,8,0,0,8,0.171621,0.087697,0.11839675,0.2027495,0.2958611,0.087697,0.38086,8,0.1716213126000461,0.08769723302080895,0.1183969814772465,0.20274982849302528,0.29586096501257625,0.08769723302080895,0.38085982163274634,8,0.2247342416529427,0.11483755053151605,0.1550381793681687,0.2654963317861956,0.3874232669561303,0.11483755053151605,0.4987273543943707,8,0.27155624706010145,0.13876325216195606,0.1873394362629806,0.320810869486558,0.46814053623765145,0.13876325216195606,0.6026341498715495,8,0.9289709172259459,0.6485716215604815,0.8108769628915927,1.0,1.0,0.5993132593766483,1.0,8,6.810951772022056,6.258685405395847,6.488217522658515,9.764869888475864,12.39148517292596,5.723110465116289,18.520254169976184,borderline_needs_group_context,True,True
Forex Majors,h1_h4,H1,major,8,8,0,0,8,0.286474,0.171621,0.257289,0.3265775,0.3690944,0.171621,0.432884,8,0.2864738166018746,0.1716213126000461,0.25728904642122097,0.3265778641664769,0.3690944431740224,0.1716213126000461,0.43288360393322634,8,0.3751310076358732,0.2247342416529427,0.3369142087138794,0.42764635424464875,0.4833208564156314,0.2247342416529427,0.56685132504866,8,0.4532872598328324,0.27155624706010145,0.40710822448167333,0.5167438578716955,0.58401780222166,0.27155624706010145,0.6849513333574558,8,0.6617802430005275,0.5272808908045977,0.6294500240222596,1.0,1.0,0.505028735632185,1.0,8,9.886724335144404,8.438275014857696,9.549845585323201,10.063007888901264,10.609936927125045,7.349780472506824,11.50510093336228,global_prominence_temporarily_reasonable,True,True
Forex Majors,h1_h4,H1,minor,8,8,0,0,8,0.102961,0.087697,0.090784,0.12785825,0.16234819999999997,0.087697,0.241024,8,0.10296135376171964,0.08769723302080895,0.09078435856391448,0.1278584495769493,0.16234850217242164,0.08769723302080895,0.2410244683283789,8,0.13482557269052264,0.11483755053151605,0.11888007186704547,0.1674277586465039,0.21259170534511163,0.11483755053151605,0.31561611019613767,8,0.1629156565473823,0.13876325216195606,0.14364800810507597,0.20231030864420882,0.25688388754206337,0.13876325216195606,0.38137279733690416,8,0.725680976505923,0.672615170133489,0.6759259259259223,0.8579418344518918,0.9005592841163242,0.664890073284478,1.0,8,6.488217522658515,4.976538291279309,5.5364674216570435,7.523097089933625,9.097314561438269,4.976538291279309,10.930370370370321,borderline_needs_group_context,True,True
Forex Majors,h4_d1,H4,intermediate,16,8,2,2,16,0.148368,0.137819,0.147364,0.1671425,0.195338,0.110477,0.224647,8,0.1517797179314977,0.12293485560779034,0.14363666890530571,0.16714237743451982,0.18962390866353296,0.11047683008730608,0.22464741437206193,8,0.18274686324982176,0.14801687308796382,0.172942413175025,0.20124391854557247,0.2283122868964038,0.13301707524157275,0.2704815298985195,8,0.1991891415476822,0.1613343909747928,0.18850255596686086,0.2193504318702628,0.24885422175216,0.14498501674598877,0.2948175568482288,8,0.869230769230767,0.7040384615384588,0.8225961538461524,0.9249562516169804,0.9806686046511641,0.6326923076923011,1.0,8,7.161662817551975,5.622965989016297,6.630834601173682,7.810797083720722,9.969335150254585,4.748453608247407,10.997260273972493,borderline_needs_group_context,True,True
Forex Majors,h4_d1,H4,major,16,8,1,1,16,0.205604,0.1178885,0.17212349999999998,0.40868150000000003,0.4931605,0.071125,0.499105,8,0.37127826281620774,0.16465189164987673,0.17212334900380602,0.4150996194313854,0.498242668457578,0.16465189164987673,0.49910454443698204,8,0.44702901578145915,0.19824530666702617,0.20724114230266508,0.49979110793655107,0.5998975755043744,0.19824530666702617,0.6009352973679606,8,0.4872495446265941,0.21608202597097356,0.22588724366884128,0.5447587989893647,0.6538721428991133,0.21608202597097356,0.6550032316822375,8,0.9336318953654673,0.7634230495410984,0.8764744973620755,0.9685875216637793,1.0,0.7283445226788935,1.0,8,14.117608188204912,6.6596991283219324,6.8418604651163015,14.69092059474855,14.883581145207259,6.23465600913507,15.333122429610915,global_prominence_temporarily_reasonable,True,True
Forex Majors,h4_d1,H4,minor,16,8,3,3,16,0.162861,0.089738,0.12418825,0.174614,0.2801345,0.084982,0.40732,8,0.1746138347884491,0.16286098052384204,0.17167562122229735,0.2076617416610705,0.3369599283635551,0.16286098052384204,0.4073203492276696,8,0.21023975418121138,0.19608900149593766,0.20670206600989294,0.2500303230414693,0.40570881794045976,0.19608900149593766,0.4904246573496321,8,0.2291556495681305,0.21373171161642954,0.22529966508020527,0.27252629414184215,0.4422116458076272,0.21373171161642954,0.5345496210118106,8,0.9663461538461542,0.7573997950468704,0.8974539505843674,1.0,1.0,0.6772752652149636,1.0,8,6.833738591112507,5.860184119677795,6.5206015854749735,7.600312934456405,9.619521663570117,5.860184119677795,12.139829167984868,borderline_needs_group_context,True,True
Index,h1_h4,H1,intermediate,5,5,0,0,5,0.240335,0.2012114,0.240335,0.240335,0.240335,0.175129,0.240335,5,0.24033505154639176,0.2012113402061853,0.24033505154639176,0.24033505154639176,0.24033505154639176,0.175128865979381,0.24033505154639176,5,0.33392120175823425,0.27956276912885053,0.33392120175823425,0.33392120175823425,0.33392120175823425,0.2433238140425947,0.33392120175823425,5,0.46456594843691534,0.38894009216589737,0.46456594843691534,0.46456594843691534,0.46456594843691534,0.33852285465188536,0.46456594843691534,5,1.0,0.737081438610996,1.0,1.0,1.0,0.5618023976849932,1.0,5,11.234939759036163,9.713728990034188,11.234939759036163,11.234939759036163,12.177153932059795,8.699588477366204,12.805296714075551,global_prominence_temporarily_reasonable,True,True
Index,h1_h4,H1,major,5,5,0,0,5,0.311727,0.311727,0.311727,0.325644,0.5016234,0.311727,0.618943,5,0.3117268041237109,0.3117268041237109,0.3117268041237109,0.32564432989690584,0.5016237113402051,0.3117268041237109,0.6189432989690712,5,0.43311280807140345,0.43311280807140345,0.43311280807140345,0.4524497999158468,0.696955319015603,0.43311280807140345,0.8599589984154405,5,0.6025656993398909,0.6025656993398909,0.6025656993398909,0.6294681778552708,0.9696350728608755,0.6025656993398909,1.1964130028646118,5,1.0,0.8323507004028367,0.8748633879781408,1.0,1.0,0.8040089086859672,1.0,5,15.485139460448028,12.09042334657215,13.776275353411155,15.485139460448028,15.485139460448028,10.966522008679481,15.485139460448028,global_prominence_temporarily_reasonable,True,True
Index,h1_h4,H1,minor,5,5,0,0,5,0.240335,0.1659536,0.234923,0.240335,0.240335,0.119974,0.240335,5,0.24033505154639176,0.16595360824742258,0.2349226804123702,0.24033505154639176,0.24033505154639176,0.11997422680412417,0.24033505154639176,5,0.33392120175823425,0.2305757231229243,0.32640126048539336,0.33392120175823425,0.33392120175823425,0.16669203154794493,0.33392120175823425,5,0.46456594843691534,0.3207871465935974,0.4541038734587095,0.46456594843691534,0.46456594843691534,0.2319093286835227,0.46456594843691534,5,1.0,0.579537521141158,0.7474374743747418,1.0,1.0,0.4676042189854354,1.0,5,11.234939759036163,7.53574953255263,11.234939759036163,11.97653683716558,12.473792763311563,5.069622714896941,12.805296714075551,global_prominence_temporarily_reasonable,True,True
Index,h4_d1,H4,intermediate,10,5,2,2,10,0.281982,0.149947,0.15363125,0.36956625,0.448578,0.149947,0.448578,5,0.14994690265486718,0.14994690265486718,0.14994690265486718,0.16468436578171058,0.33502064896755157,0.14994690265486718,0.4485781710914455,5,0.2535757614456291,0.2535757614456291,0.2535757614456291,0.2784983398250425,0.5665546580678116,0.2535757614456291,0.758592203562991,5,0.2996237020550207,0.2996237020550207,0.2996237020550207,0.3290720813331695,0.6694378165288171,0.2996237020550207,0.8963483066592486,5,1.0,0.9667271236552465,1.0,1.0,1.0,0.9445452060920775,1.0,5,4.809862391521809,3.6415588668740537,3.6415588668740537,5.03667998453407,7.592712168486118,3.6415588668740537,9.29673362445415,borderline_needs_group_context,True,True
Index,h4_d1,H4,major,10,5,0,0,10,0.29659,0.281982,0.285634,0.37993499999999997,0.868578,0.281982,0.868578,5,0.29658997050147345,0.29658997050147345,0.29658997050147345,0.3234572271386421,0.6505297935103247,0.29658997050147345,0.8685781710914464,5,0.5015643956324602,0.5015643956324602,0.5015643956324602,0.5469997126620251,1.1001133388672502,0.5015643956324602,1.4688557563374,5,0.592645685777067,0.592645685777067,0.592645685777067,0.6463318023634139,1.2998877707883412,0.592645685777067,1.7355917497382924,5,0.9169372195673567,0.9169372195673567,0.9169372195673567,1.0,1.0,0.9169372195673567,1.0,5,7.394643545279413,7.300912863070532,7.300912863070532,8.200978792822138,12.428527391196802,7.300912863070532,15.246893123446576,global_prominence_temporarily_reasonable,True,True
Index,h4_d1,H4,minor,10,5,2,2,10,0.281982,0.149947,0.149947,0.36956625,0.448578,0.149947,0.448578,5,0.14994690265486718,0.14994690265486718,0.14994690265486718,0.14994690265486718,0.3291256637168142,0.14994690265486718,0.4485781710914455,5,0.2535757614456291,0.2535757614456291,0.2535757614456291,0.2535757614456291,0.5565856267160463,0.2535757614456291,0.758592203562991,5,0.2996237020550207,0.2996237020550207,0.2996237020550207,0.2996237020550207,0.6576584648175575,0.2996237020550207,0.8963483066592486,5,1.0,0.9667271236552465,1.0,1.0,1.0,0.9445452060920775,1.0,5,4.093318608503558,3.6415588668740537,3.6415588668740537,4.799482046993411,7.497832993469855,3.6415588668740537,9.29673362445415,borderline_needs_group_context,True,True
Metals,h1_h4,H1,intermediate,5,5,0,0,5,0.180173,0.12813259999999999,0.180173,0.265326,0.3129468,0.093439,0.344694,5,0.18017266836903084,0.1281324369864678,0.18017266836903084,0.26532562058123577,0.31294665346465855,0.09343894939809248,0.3446940087202738,5,0.2846564883401168,0.20243763876729348,0.2846564883401168,0.4191904360689302,0.4944273524915678,0.14762507238541125,0.5445852967733261,5,0.4366900477445534,0.31055853549685425,0.4366900477445534,0.6430778817248659,0.7584984464073687,0.22647086066505484,0.8354454895290373,5,0.5227032202791916,0.26514465775053214,0.5227032202791916,1.0,1.0,0.09343894939809248,1.0,5,7.689472569370908,5.897254392427271,7.6752471060838205,14.710972251641627,16.117408521010766,4.711925916656239,17.055032700590193,global_prominence_temporarily_reasonable,True,True
Metals,h1_h4,H1,major,5,5,0,0,5,0.15257,0.135477,0.135477,0.3354,0.3512322,0.135477,0.361787,5,0.15257004881268782,0.1354769225424289,0.1354769225424289,0.3354004898639844,0.3512324769399134,0.1354769225424289,0.36178713499053267,5,0.24104685085723546,0.21404126037066842,0.21404126037066842,0.5299023791815438,0.5549154840285534,0.21404126037066842,0.5715908872598932,5,0.3697887282433873,0.32835959143461,0.32835959143461,0.8129205015283295,0.8512929764140206,0.32835959143461,0.8768746263378147,5,0.393035327319458,0.35845442484617385,0.393035327319458,0.4217122005089548,0.7686848802035819,0.3354004898639844,1.0,5,12.700061970667198,5.652326965884974,5.652326965884974,25.187476705180757,28.29292257835475,5.652326965884974,30.363219827137414,borderline_needs_group_context,True,True
Metals,h1_h4,H1,minor,5,5,0,0,5,0.180173,0.1371378,0.155106,0.215505,0.2453976,0.125159,0.265326,5,0.18017266836903084,0.13713759619226293,0.15510622405197425,0.21550541108621266,0.2453975367832265,0.12515851095245537,0.26532562058123577,5,0.2846564883401168,0.21666497424314365,0.2450537779009741,0.34047901989466745,0.3877058695992251,0.19773910513792337,0.4191904360689302,5,0.4366900477445534,0.3323846173278202,0.3759357343146084,0.5223271049285512,0.59477757100634,0.3033505393366281,0.6430778817248659,5,0.5227032202791916,0.407663998719901,0.48527173913043475,1.0,1.0,0.3559255051128785,1.0,5,7.971813022128686,6.910178282690085,7.689472569370908,14.923870080769928,16.202567652662086,6.390648758236202,17.055032700590193,global_prominence_temporarily_reasonable,True,True
Metals,h4_d1,H4,intermediate,10,5,2,2,10,0.040204500000000004,0.036910899999999996,0.038776,0.044849,0.0473658,0.020125,0.053223,5,0.03877622622973829,0.027585432601221017,0.03877622622973829,0.03877622622973829,0.039795102098098396,0.020124903515542834,0.04047435267700513,5,0.0576280519090466,0.04099663367080063,0.0576280519090466,0.0576280519090466,0.05914227433705845,0.029909021511969974,0.060151755955733015,5,0.0651950779249891,0.04637982090820077,0.0651950779249891,0.0651950779249891,0.0669081299182407,0.033836316230341876,0.06805016458040843,5,0.8309774436090233,0.5911578947368432,0.8309774436090233,0.8309774436090233,0.8528120300751885,0.43127819548872326,0.8673684210526319,5,11.862005519779258,8.956131742677952,10.36877247046741,11.862005519779258,11.91034712918371,8.01437125748498,11.94257486878668,metals_low_prominence_requires_normalization_audit,True,True
Metals,h4_d1,H4,major,10,5,0,0,10,0.053223,0.038776,0.0392005,0.136761,0.20690859999999986,0.038776,0.553603,5,0.03877622622973829,0.03877622622973829,0.03877622622973829,0.04047435267700513,0.34835169461792165,0.03877622622973829,0.5536032559118659,5,0.0576280519090466,0.0576280519090466,0.0576280519090466,0.060151755955733015,0.5177097281491032,0.0576280519090466,0.8227483762780167,5,0.0651950779249891,0.0651950779249891,0.0651950779249891,0.06805016458040843,0.5856891730866789,0.0651950779249891,0.9307818454241924,5,0.8309774436090233,0.7992009652152948,0.8309774436090233,0.8309774436090233,0.8528120300751885,0.7780166462861425,0.8673684210526319,5,11.862005519779258,9.148864398508007,10.36877247046741,11.862005519779258,11.91034712918371,8.335592350535071,11.94257486878668,metals_low_prominence_requires_normalization_audit,True,True
Metals,h4_d1,H4,minor,10,5,2,2,10,0.0361555,0.0249157,0.027016,0.043295,0.043295,0.019648,0.043295,5,0.043295207353869866,0.029106729352326124,0.043295207353869866,0.043295207353869866,0.043295207353869866,0.019647744017963632,0.043295207353869866,5,0.06434402466138563,0.04325753878369977,0.06434402466138563,0.06434402466138563,0.06434402466138563,0.029199881531909198,0.06434402466138563,5,0.07279291183445206,0.048937601019336655,0.07279291183445206,0.07279291183445206,0.07279291183445206,0.03303406047592638,0.07279291183445206,5,0.9853082082401791,0.6467548622434398,0.9853082082401791,0.9853082082401791,0.9853082082401791,0.421052631578947,0.9853082082401791,5,9.818140486474197,7.6834539959054435,9.060205580029356,9.818140486474197,11.557998244059618,6.765619606489502,12.717903415783233,metals_low_prominence_requires_normalization_audit,True,True
