candidate_order,candidate_id,review_category,suggested_initial_label,review_label,reviewer_notes,visual_quality_score,should_keep_for_methodology,suggested_action,review_options,chart_path,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,failure_reasons,source_table,source_id,example_id,start_time,end_time
29,abc_aux252b_forex_audjpy_h1_minor_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\029_abc_aux252b_forex_audjpy_h1_minor_abc_002.png,Forex Majors,AUDJPY.r,H1,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,aux252b_forex_audjpy_h1_minor_abc_002,aux252b_forex_audjpy_h1,2026-01-13 01:00:00,2026-01-14 07:00:00
30,abc_aux252b_metals_xagusd_h1_minor_abc_005,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\030_abc_aux252b_metals_xagusd_h1_minor_abc_005.png,Metals,XAGUSD.r,H1,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,aux252b_metals_xagusd_h1_minor_abc_005,aux252b_metals_xagusd_h1,2026-01-13 01:00:00,2026-01-14 15:00:00
31,abc_aux252b_index_aus200_h1_minor_abc_003,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\031_abc_aux252b_index_aus200_h1_minor_abc_003.png,Index,AUS200,H1,minor,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,aux252b_index_aus200_h1_minor_abc_003,aux252b_index_aus200_h1,2026-01-07 07:00:00,2026-01-13 04:00:00
32,abc_aux252b_forex_audjpy_h1_minor_abc_007,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\032_abc_aux252b_forex_audjpy_h1_minor_abc_007.png,Forex Majors,AUDJPY.r,H1,minor,bearish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,aux252b_forex_audjpy_h1_minor_abc_007,aux252b_forex_audjpy_h1,2026-01-15 11:00:00,2026-01-16 17:00:00
33,abc_aux252b_forex_audjpy_h1_major_abc_001,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\033_abc_aux252b_forex_audjpy_h1_major_abc_001.png,Forex Majors,AUDJPY.r,H1,major,bearish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,aux252b_forex_audjpy_h1_major_abc_001,aux252b_forex_audjpy_h1,2026-01-14 07:00:00,2026-01-19 01:00:00
34,abc_aux252b_metals_xagusd_h1_major_abc_002,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\034_abc_aux252b_metals_xagusd_h1_major_abc_002.png,Metals,XAGUSD.r,H1,major,bearish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,aux252b_metals_xagusd_h1_major_abc_002,aux252b_metals_xagusd_h1,2026-01-15 01:00:00,2026-01-16 17:00:00
35,abc_aux252b_index_aus200_h1_major_abc_003,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\035_abc_aux252b_index_aus200_h1_major_abc_003.png,Index,AUS200,H1,major,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,aux252b_index_aus200_h1_major_abc_003,aux252b_index_aus200_h1,2026-01-07 17:00:00,2026-01-16 04:00:00
36,abc_aux252b_forex_audjpy_h1_major_abc_006,abc,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\036_abc_aux252b_forex_audjpy_h1_major_abc_006.png,Forex Majors,AUDJPY.r,H1,major,bullish,candidate_abc,abc,basic ABC constraints satisfied,candidate_counts,aux252b_forex_audjpy_h1_major_abc_006,aux252b_forex_audjpy_h1,2026-01-26 13:00:00,2026-01-29 07:00:00
37,near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\037_near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005.png,Forex Majors,AUDJPY.r,H1,intermediate,bearish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_forex_audjpy_h1_intermediate_impulse_005,aux252b_forex_audjpy_h1,2026-01-14 07:00:00,2026-01-20 15:00:00
38,near_miss_aux252b_metals_xagusd_h1_intermediate_impulse_003,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\038_near_miss_aux252b_metals_xagusd_h1_intermediate_impulse_003.png,Metals,XAGUSD.r,H1,intermediate,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,aux252b_metals_xagusd_h1_intermediate_impulse_003,aux252b_metals_xagusd_h1,2026-01-13 01:00:00,2026-01-15 21:00:00
39,near_miss_aux252b_index_aus200_h1_intermediate_impulse_003,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\039_near_miss_aux252b_index_aus200_h1_intermediate_impulse_003.png,Index,AUS200,H1,intermediate,bullish,soft_impulse_near_miss,full_impulse_12345,wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,aux252b_index_aus200_h1_intermediate_impulse_003,aux252b_index_aus200_h1,2026-01-07 17:00:00,2026-01-14 01:00:00
40,near_miss_aux252b_forex_audjpy_h1_minor_impulse_009,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\040_near_miss_aux252b_forex_audjpy_h1_minor_impulse_009.png,Forex Majors,AUDJPY.r,H1,minor,bearish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_forex_audjpy_h1_minor_impulse_009,aux252b_forex_audjpy_h1,2026-01-16 08:00:00,2026-01-20 03:00:00
41,near_miss_aux252b_metals_xagusd_h1_minor_impulse_012,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png,Metals,XAGUSD.r,H1,minor,bearish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_metals_xagusd_h1_minor_impulse_012,aux252b_metals_xagusd_h1,2026-01-15 21:00:00,2026-01-19 10:00:00
42,near_miss_aux252b_index_aus200_h1_minor_impulse_003,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\042_near_miss_aux252b_index_aus200_h1_minor_impulse_003.png,Index,AUS200,H1,minor,bullish,soft_impulse_near_miss,full_impulse_12345,wave 5 fails to exceed wave 3 extreme | wave 2 retracement is visually too deep,impulse_diagnostics,aux252b_index_aus200_h1_minor_impulse_003,aux252b_index_aus200_h1,2026-01-07 07:00:00,2026-01-14 01:00:00
43,near_miss_aux252b_forex_audjpy_h1_major_impulse_019,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\043_near_miss_aux252b_forex_audjpy_h1_major_impulse_019.png,Forex Majors,AUDJPY.r,H1,major,bearish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory,impulse_diagnostics,aux252b_forex_audjpy_h1_major_impulse_019,aux252b_forex_audjpy_h1,2026-02-10 02:00:00,2026-02-16 00:00:00
44,near_miss_aux252b_metals_xagusd_h1_major_impulse_002,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\044_near_miss_aux252b_metals_xagusd_h1_major_impulse_002.png,Metals,XAGUSD.r,H1,major,bearish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_metals_xagusd_h1_major_impulse_002,aux252b_metals_xagusd_h1,2026-01-15 01:00:00,2026-01-20 05:00:00
45,near_miss_aux252b_index_aus200_h1_major_impulse_007,near_miss,ambiguous_but_interesting,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\045_near_miss_aux252b_index_aus200_h1_major_impulse_007.png,Index,AUS200,H1,major,bullish,soft_impulse_near_miss,full_impulse_12345,wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme,impulse_diagnostics,aux252b_index_aus200_h1_major_impulse_007,aux252b_index_aus200_h1,2026-01-21 15:00:00,2026-01-30 01:00:00
46,hard_invalid_aux252b_forex_audjpy_h1_intermediate_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\invalidations\046_hard_invalid_aux252b_forex_audjpy_h1_intermediate_impulse_001.png,Forex Majors,AUDJPY.r,H1,intermediate,bearish,hard_invalid_impulse,full_impulse_12345,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_forex_audjpy_h1_intermediate_impulse_001,aux252b_forex_audjpy_h1,2026-01-12 18:00:00,2026-01-14 18:00:00
47,hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\invalidations\047_hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001.png,Metals,XAGUSD.r,H1,intermediate,bullish,hard_invalid_impulse,full_impulse_12345,wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory,impulse_diagnostics,aux252b_metals_xagusd_h1_intermediate_impulse_001,aux252b_metals_xagusd_h1,2026-01-08 16:00:00,2026-01-15 01:00:00
48,hard_invalid_aux252b_index_aus200_h1_intermediate_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\invalidations\048_hard_invalid_aux252b_index_aus200_h1_intermediate_impulse_001.png,Index,AUS200,H1,intermediate,bullish,hard_invalid_impulse,full_impulse_12345,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep,impulse_diagnostics,aux252b_index_aus200_h1_intermediate_impulse_001,aux252b_index_aus200_h1,2026-01-06 10:00:00,2026-01-13 04:00:00
49,hard_invalid_aux252b_forex_audjpy_h1_minor_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\invalidations\049_hard_invalid_aux252b_forex_audjpy_h1_minor_impulse_001.png,Forex Majors,AUDJPY.r,H1,minor,bearish,hard_invalid_impulse,full_impulse_12345,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 4 overlaps wave 1 territory | wave 2 retracement is visually too deep | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_forex_audjpy_h1_minor_impulse_001,aux252b_forex_audjpy_h1,2026-01-12 18:00:00,2026-01-14 18:00:00
50,hard_invalid_aux252b_metals_xagusd_h1_minor_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\invalidations\050_hard_invalid_aux252b_metals_xagusd_h1_minor_impulse_001.png,Metals,XAGUSD.r,H1,minor,bullish,hard_invalid_impulse,full_impulse_12345,wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_metals_xagusd_h1_minor_impulse_001,aux252b_metals_xagusd_h1,2026-01-08 16:00:00,2026-01-13 16:00:00
51,hard_invalid_aux252b_index_aus200_h1_minor_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\invalidations\051_hard_invalid_aux252b_index_aus200_h1_minor_impulse_001.png,Index,AUS200,H1,minor,bullish,hard_invalid_impulse,full_impulse_12345,wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_index_aus200_h1_minor_impulse_001,aux252b_index_aus200_h1,2026-01-06 10:00:00,2026-01-13 04:00:00
52,hard_invalid_aux252b_forex_audjpy_h1_major_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\invalidations\052_hard_invalid_aux252b_forex_audjpy_h1_major_impulse_001.png,Forex Majors,AUDJPY.r,H1,major,bearish,hard_invalid_impulse,full_impulse_12345,wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 5 fails to exceed wave 3 extreme | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_forex_audjpy_h1_major_impulse_001,aux252b_forex_audjpy_h1,2026-01-14 07:00:00,2026-01-26 13:00:00
53,hard_invalid_aux252b_metals_xagusd_h1_major_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\invalidations\053_hard_invalid_aux252b_metals_xagusd_h1_major_impulse_001.png,Metals,XAGUSD.r,H1,major,bullish,hard_invalid_impulse,full_impulse_12345,wave 3 does not exceed wave 1 extreme | wave 3 is shorter than both wave 1 and wave 5 | wave 4 overlaps wave 1 territory | wave 4 retracement is visually too deep,impulse_diagnostics,aux252b_metals_xagusd_h1_major_impulse_001,aux252b_metals_xagusd_h1,2026-01-08 16:00:00,2026-01-19 19:00:00
54,hard_invalid_aux252b_index_aus200_h1_major_impulse_001,hard_invalid,hard_invalid_correct,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\invalidations\054_hard_invalid_aux252b_index_aus200_h1_major_impulse_001.png,Index,AUS200,H1,major,bullish,hard_invalid_impulse,full_impulse_12345,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,impulse_diagnostics,aux252b_index_aus200_h1_major_impulse_001,aux252b_index_aus200_h1,2026-01-06 10:00:00,2026-01-16 04:00:00
